Month-Year,Utility,Utility sub-region,Customer class,Supply type,customers,load,Date
5/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,394.8032258,5/1/19
5/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,5.176806452,5/1/19
5/1/19,Emera Maine,Maine Public District,Small,CEP customers,389,24.16145161,5/1/19
5/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36606,795.4860645,5/1/19
5/1/19,Central Maine Power,N/A,Medium,CEP customers,5067,3133.296548,5/1/19
5/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6370,1941.05671,5/1/19
5/1/19,Central Maine Power,N/A,Small,CEP customers,90874,1756.355258,5/1/19
5/1/19,Central Maine Power,N/A,Small,Standard offer customers,536158,9184.338097,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11563,214.4423426,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,115948,1784.227409,5/1/19
5/1/19,Emera Maine,Maine Public District,Medium,CEP customers,72,104.6446129,5/1/19
5/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,108,91.68458065,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,32,455.6221785,5/1/19
5/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,17,108.2403368,5/1/19
4/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,827,753.0652056,4/1/19
4/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1054,418.83638,4/1/19
4/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,424.0435333,4/1/19
4/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,6.242166667,4/1/19
4/1/19,Central Maine Power,N/A,Small,CEP customers,86621,1764.874033,4/1/19
4/1/19,Central Maine Power,N/A,Small,Standard offer customers,512322,9619.346667,4/1/19
4/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11711,231.3141533,4/1/19
4/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,115195,1902.562639,4/1/19
4/1/19,Central Maine Power,N/A,Medium,CEP customers,4906,3170.9672,4/1/19
4/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6323,1998.245133,4/1/19
4/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,33,478.5674029,4/1/19
4/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,16,66.15693362,4/1/19
4/1/19,Emera Maine,Maine Public District,Small,CEP customers,394,29.20863333,4/1/19
4/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36500,788.664,4/1/19
4/1/19,Central Maine Power,N/A,Large,CEP customers,350,5618.257133,4/1/19
4/1/19,Central Maine Power,N/A,Large,Standard offer customers,55,151.7633333,4/1/19
4/1/19,Emera Maine,Maine Public District,Medium,CEP customers,72,114.8800333,4/1/19
4/1/19,Emera Maine,Maine Public District,Medium,Standard offer customers,109,101.4429333,4/1/19
3/1/19,Emera Maine,Bangor Hydro District,Small,CEP customers,11722,240,3/1/19
3/1/19,Emera Maine,Bangor Hydro District,Small,Standard offer customers,114968,1994,3/1/19
3/1/19,Emera Maine,Maine Public District,Small,CEP customers,393,28,3/1/19
3/1/19,Emera Maine,Maine Public District,Small,Standard offer customers,36499,799,3/1/19
3/1/19,Emera Maine,Maine Public District,Large,CEP customers,13,417,3/1/19
3/1/19,Emera Maine,Maine Public District,Large,Standard offer customers,3,6,3/1/19
3/1/19,Emera Maine,Bangor Hydro District,Medium,CEP customers,820,724,3/1/19
3/1/19,Emera Maine,Bangor Hydro District,Medium,Standard offer customers,1034,404,3/1/19
3/1/19,Central Maine Power,N/A,Medium,CEP customers,4992,3408.727613,3/1/19
3/1/19,Central Maine Power,N/A,Medium,Standard offer customers,6598,2209.600161,3/1/19
3/1/19,Emera Maine,Bangor Hydro District,Large,CEP customers,33,462,3/1/19
3/1/19,Emera Maine,Bangor Hydro District,Large,Standard offer customers,16,131,3/1/19
3/1/19,Central Maine Power,N/A,Small,CEP customers,91321,2013.565032,3/1/19
