,affiliated_committee_name,candidate_ids,committee_id,committee_type,committee_type_full,cycles,designation,designation_full,filing_frequency,first_file_date,last_f1_date,last_file_date,name,organization_type,organization_type_full,party,party_full,state,treasurer_name,active_through,candidate_id,candidate_inactive,candidate_status,district,district_number,election_districts,election_years,federal_funds_flag,has_raised_funds,inactive_election_years,incumbent_challenge,incumbent_challenge_full,last_f2_date,load_date,office,office_full,principal_committees
56833,,['P60016458'],C00590042,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-10-19,2016-01-11,2018-04-26,DAVE WEBBER FOR AMERICA,,,IND,INDEPENDENT,NY,DAVID A WEBBER,,,,,,,,,,,,,,,,,,
56835,,['P20004719'],C00513630,P,Presidential,"[2012, 2014, 2016, 2018]",P,Principal campaign committee,A,2012-02-23,2013-11-14,2018-04-26,DAVID CHRISTOPHER HOLCOMB FOR PRESIDENT OF THE USA 2016,,,DEM,DEMOCRATIC PARTY,NE,DAVID CHRISTOPHER HOLCOMB,,,,,,,,,,,,,,,,,,
56837,,['P60018231'],C00592907,P,Presidential,"[2016, 2018]",P,Principal campaign committee,A,2015-11-30,2015-11-30,2018-04-26,DAVID DREW KNIGHT 2016,,,IND,INDEPENDENT,NV,DAVID DREW KNIGHT,,,,,,,,,,,,,,,,,,
56838,,['P80001050'],C00259408,P,Presidential,[1992],A,Authorized by a candidate,T,1992-01-22,1992-01-22,1992-09-08,DAVID DUKE FOR GOVERNOR (OF STATE OF LOUISIANA),,,REP,REPUBLICAN PARTY,LA,JAMES MCPHERSON,,,,,,,,,,,,,,,,,,
56839,,['P80001050'],C00256735,P,Presidential,"[1992, 1994, 1996, 1998]",P,Principal campaign committee,A,1991-12-05,1992-11-16,1997-09-11,DAVID DUKE FOR PRESIDENT (92),,,REP,REPUBLICAN PARTY,LA,JAMES MCPHERSON,,,,,,,,,,,,,,,,,,
56840,,['P80001050'],C00215426,P,Presidential,"[1988, 1990, 1992, 1994, 1996, 1998]",A,Authorized by a candidate,A,1987-06-02,1988-01-22,1997-09-11,DAVID DUKE FOR PRESIDENT COMMITTEE,,,,,LA,PAULINE MACKEY,,,,,,,,,,,,,,,,,,
56841,,['P60017688'],C00592352,P,Presidential,[2016],P,Principal campaign committee,T,2015-11-18,2016-11-07,2016-11-29,DAVID E HALL CAMPAIGN COMMITTEE,,,REP,REPUBLICAN PARTY,FL,DAVID EAMES HALL,,,,,,,,,,,,,,,,,,
56842,,['P80002769'],C00339366,P,Presidential,"[1998, 2000, 2002]",P,Principal campaign committee,T,1998-08-10,1998-08-10,2001-04-13,DAVID E WYATT COMMITTEE TO ELECT,,,IND,INDEPENDENT,FL,JACQUELINE M HUGGARD,,,,,,,,,,,,,,,,,,
56843,,['P80004088'],C00433623,P,Presidential,"[2008, 2010, 2012, 2014, 2016]",P,Principal campaign committee,A,2007-04-05,2007-04-05,2015-08-10,DAVID FOR PRESIDENT,,,REP,REPUBLICAN PARTY,FL,DAVID ERNST FURNISS,,,,,,,,,,,,,,,,,,
56845,,['P20000725'],C00254144,P,Presidential,"[1992, 1994, 1996]",P,Principal campaign committee,T,1991-09-16,1995-03-31,1995-03-31,DAVID FOR PRESIDENT COMMITTEE,,,REP,REPUBLICAN PARTY,AZ,DAVID SHERMAN RAMSEY,,,,,,,,,,,,,,,,,,
